# core	nvalues	median	mean	stddev	min	max
23	90	516.0	518.0	29.0876071358	465	597
24	90	418.0	422.011111111	27.7246358335	361	483
25	90	436.5	435.211111111	27.6636522231	373	489
26	90	412.5	420.266666667	33.4789486095	347	508
27	90	412.0	418.677777778	32.9433276933	360	494
28	90	419.0	423.466666667	32.5757919662	367	511
29	90	422.5	424.344444444	27.9512119042	343	482
30	90	475.5	476.655555556	34.2114864113	406	558
31	90	482.5	486.655555556	34.5173583099	421	578
32	90	484.5	492.511111111	36.3939080508	430	565
33	90	496.5	499.1	25.957679232	428	561
34	90	486.0	484.688888889	35.4706903872	411	561
35	90	486.0	486.988888889	35.4286432909	415	551
36	90	459.0	457.855555556	36.7443302085	387	558
37	90	451.0	448.155555556	36.2297947095	381	540
38	90	439.0	447.222222222	31.4285000801	382	518
39	90	465.5	467.477777778	34.5045014061	410	617
40	90	458.5	455.755555556	29.4132665121	392	515
41	90	458.0	455.711111111	35.5553541661	387	538
42	90	498.5	497.111111111	33.2253064343	418	584
43	90	477.0	485.533333333	35.41914109	423	575
44	90	506.0	505.577777778	30.7339760518	431	587
45	90	503.0	501.755555556	33.0004414486	419	595
46	90	503.0	503.6	30.2121388408	432	581
47	90	495.0	488.822222222	31.6500229165	415	558
0	90	324.0	319.122222222	24.5387800918	255	378
1	90	326.5	321.677777778	29.1760281273	254	368
2	90	321.5	319.2	24.3712945902	267	370
3	90	317.0	316.855555556	28.7663233317	263	382
4	90	319.5	320.388888889	28.8277237104	254	388
5	90	325.0	316.155555556	31.3630749311	246	373
6	90	356.0	355.544444444	25.2793992154	300	403
7	90	367.5	364.544444444	27.0325569601	303	415
9	90	357.0	354.644444444	26.8026993297	300	419
10	90	362.0	357.588888889	30.2812352766	286	413
11	90	355.5	354.044444444	26.9748488251	300	398
12	90	394.5	395.633333333	27.8796819685	324	481
13	90	404.5	405.933333333	27.9466952926	297	477
14	90	393.5	395.277777778	20.9454464835	333	442
15	90	391.5	392.822222222	23.7386594107	333	473
16	90	401.5	400.233333333	27.5128454847	337	462
17	90	390.5	392.611111111	25.8399752513	317	466
18	90	506.0	505.655555556	26.8866596872	451	572
19	90	522.5	520.077777778	26.9774505746	462	576
20	90	501.0	501.688888889	24.2242506796	442	563
21	90	506.5	508.611111111	24.0410271755	454	583
22	90	494.5	498.444444444	28.2505107569	441	592
23	90	512.0	508.8	25.7190806817	449	589
24	90	414.0	415.611111111	25.9356873158	360	478
25	90	415.5	417.6	28.3512884285	343	481
26	90	400.5	409.377777778	32.0404528258	352	496
27	90	396.0	405.755555556	36.1995430024	354	475
28	90	399.0	407.866666667	32.0961056828	355	479
29	90	404.5	410.155555556	35.6638351247	342	513
30	90	491.0	484.855555556	33.138618328	417	538
31	90	462.5	470.6	31.4009200148	414	540
32	90	474.5	478.477777778	33.2004778338	418	557
33	90	481.0	487.033333333	36.2636794113	409	558
34	90	480.5	481.511111111	34.6654629421	418	543
35	90	481.5	481.711111111	32.818776619	415	542
36	90	458.0	449.655555556	32.8119765096	382	528
37	90	452.5	445.155555556	32.8261112568	361	528
38	90	457.0	449.544444444	29.3076255193	374	506
39	90	444.5	445.722222222	35.4924179001	380	529
40	90	453.5	442.077777778	34.1546247976	376	515
41	90	459.5	445.088888889	32.6995224037	367	522
42	90	488.0	486.122222222	36.9226903371	416	560
43	90	477.0	478.477777778	32.8471976744	418	558
44	90	492.5	491.333333333	31.05622142	426	560
45	90	486.0	487.9	28.0460137789	433	548
46	90	486.0	489.288888889	28.8614485062	438	583
47	90	493.0	488.811111111	32.4328004219	423	563
0	90	301.0	302.033333333	14.0059114504	256	351
1	90	301.0	301.1	17.2033911386	196	351
2	90	308.0	307.5	13.7987519564	254	337
3	90	317.5	312.522222222	25.0338560877	258	370
4	90	317.5	313.733333333	23.2311094105	207	352
5	90	305.5	304.488888889	18.8049901441	197	349
6	90	350.0	348.166666667	15.011292046	293	383
7	90	345.0	346.311111111	12.1907473515	284	378
8	90	343.0	342.877777778	15.4206411293	288	384
10	90	333.5	335.466666667	15.1702926069	281	388
11	90	341.0	339.088888889	17.5078677199	277	379
12	90	388.0	386.533333333	27.5294589687	325	456
13	90	372.0	376.844444444	16.7444260119	347	421
14	90	368.0	371.588888889	19.5311116168	329	443
15	90	377.0	382.888888889	18.71923814	358	432
16	90	369.5	374.666666667	20.117433015	333	442
17	90	387.0	389.0	25.1179440064	335	452
18	90	472.0	479.4	23.1731645563	446	567
19	90	474.0	480.622222222	21.261638788	444	556
20	90	481.0	486.144444444	16.8809959627	453	542
21	90	481.5	483.666666667	16.1973934803	448	539
22	90	483.5	485.788888889	16.277110339	457	540
23	90	482.0	484.266666667	17.6205687889	447	549
24	90	429.5	425.1	17.9158837038	356	456
25	90	429.5	420.144444444	27.2178704005	348	470
26	90	422.5	419.511111111	16.4986494023	359	443
27	90	426.0	422.255555556	17.5325482151	347	452
28	90	429.5	425.211111111	21.0219432681	355	460
